server_round,client_id,training_time
1,10,6.876681089401245
1,7,3.913034677505493
1,4,6.932138919830322
1,0,7.179369211196899
1,8,6.6006433963775635
1,9,6.2030863761901855
1,6,6.7001237869262695
1,1,6.123351812362671
1,2,7.150738000869751
1,5,7.115873575210571
1,11,7.09821891784668
1,3,3.1521260738372803
2,1,5.053375959396362
2,11,7.011529207229614
2,7,3.9700798988342285
2,8,4.172610282897949
2,10,5.214104890823364
2,2,5.334711313247681
2,4,4.63747239112854
2,6,4.985900402069092
2,5,4.5614166259765625
2,9,5.431555509567261
2,3,4.0743913650512695
2,0,4.999066114425659
